epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8614,2.9569,5.22057,2.16912,0.00237,0.27273,0.00718,0.00219,2.23781,4.36778,2.08281,2.5e-05,2.5e-05,2.5e-05
2,28.8157,2.39643,4.39231,1.84214,0.04499,0.22998,0.05109,0.02068,2.00697,3.61921,1.79897,6.20875e-05,6.20875e-05,6.20875e-05
3,40.0231,1.76992,2.97943,1.47437,0.29801,0.58983,0.37485,0.17128,1.93359,6.44651,1.51753,9.868e-05,9.868e-05,9.868e-05
4,52.3444,1.4524,2.05467,1.28895,0.60252,0.74832,0.67729,0.36881,1.46178,4.61568,1.30488,0.000134777,0.000134777,0.000134777
5,64.3909,1.34151,1.63452,1.17208,0.71917,0.85065,0.81024,0.39239,1.64122,2.72065,1.28643,0.00017038,0.00017038,0.00017038
6,76.1452,1.23281,1.35049,1.12013,0.79175,0.90481,0.90264,0.58176,1.16049,1.91806,1.17671,0.000205487,0.000205487,0.000205487
7,87.3629,1.18711,1.14729,1.09249,0.89397,0.91481,0.93072,0.64024,1.14173,1.43791,1.16145,0.0002401,0.0002401,0.0002401
8,98.869,1.10215,0.99626,1.05431,0.91252,0.91114,0.93437,0.60117,1.16839,1.41698,1.17479,0.000274218,0.000274218,0.000274218
9,110.594,1.06038,0.93361,1.01227,0.90165,0.91622,0.94158,0.61794,1.149,1.29081,1.15035,0.00030784,0.00030784,0.00030784
10,122.661,1.0377,0.87559,1.02292,0.84441,0.93812,0.95425,0.62116,1.22566,1.25202,1.20699,0.000340967,0.000340967,0.000340967
11,134.899,0.99946,0.82149,1.01628,0.90337,0.88633,0.94746,0.63751,1.1553,1.18168,1.19522,0.0003736,0.0003736,0.0003736
12,147.891,0.95515,0.7525,0.97852,0.7852,0.87595,0.90139,0.58962,1.16156,1.3521,1.22894,0.000405738,0.000405738,0.000405738
13,161.387,0.95845,0.72167,0.98679,0.73036,0.92852,0.78298,0.52241,1.15293,1.81259,1.20199,0.00043738,0.00043738,0.00043738
14,174.051,0.9476,0.71592,0.97806,0.69285,0.93057,0.87951,0.56838,1.22196,1.69033,1.20638,0.000468528,0.000468528,0.000468528
15,186.69,0.96047,0.68533,0.97652,0.69227,0.90384,0.92775,0.64381,1.0573,1.19983,1.12776,0.00049918,0.00049918,0.00049918
16,199.454,1.02649,0.7158,1.00742,0.88903,0.91963,0.91183,0.60332,1.14851,1.07719,1.14185,0.000529338,0.000529338,0.000529338
17,212.808,0.93921,0.68629,0.96243,0.87629,0.89475,0.92471,0.62647,1.1946,1.00694,1.2037,0.000559,0.000559,0.000559
18,227.145,0.89102,0.64315,0.96591,0.82541,0.93182,0.93457,0.64085,1.14,0.99479,1.13994,0.000588167,0.000588167,0.000588167
19,242.517,0.91359,0.62536,0.96314,0.82771,0.79586,0.80276,0.52973,1.16369,0.98033,1.16115,0.00061684,0.00061684,0.00061684
20,259.153,0.89502,0.62472,0.96193,0.83958,0.6818,0.66299,0.43656,1.11792,0.90832,1.15498,0.000645018,0.000645018,0.000645018
21,275.432,0.90714,0.62001,0.95416,0.83739,0.73593,0.71573,0.46711,1.09689,0.90913,1.13781,0.0006727,0.0006727,0.0006727
22,292.852,0.89655,0.6372,0.96136,0.8382,0.85213,0.86619,0.564,1.1511,0.88124,1.21578,0.000699888,0.000699888,0.000699888
23,310.199,0.92254,0.61843,1.00534,0.90849,0.87271,0.87412,0.61116,1.05409,0.80075,1.18376,0.00072658,0.00072658,0.00072658
24,327.121,0.89372,0.60122,0.95709,0.93628,0.72457,0.73403,0.50809,1.01083,0.75248,1.14294,0.000752778,0.000752778,0.000752778
25,344.912,0.85127,0.59705,0.96593,0.87352,0.87238,0.85786,0.57503,1.09418,0.81611,1.18351,0.00077848,0.00077848,0.00077848
26,361.592,0.82009,0.56365,0.94862,0.95912,0.91332,0.95024,0.6892,0.93252,0.76674,1.13931,0.000803688,0.000803688,0.000803688
27,377.151,0.83671,0.55286,0.95289,0.94688,0.9007,0.95384,0.701,0.9346,0.75992,1.13006,0.0008284,0.0008284,0.0008284
28,392.531,0.83118,0.5647,0.93041,0.92246,0.92045,0.95095,0.66494,0.98891,0.80439,1.15266,0.000852618,0.000852618,0.000852618
29,406.446,0.8419,0.562,0.95351,0.93663,0.92799,0.95713,0.66424,0.97493,0.78426,1.14844,0.00087634,0.00087634,0.00087634
30,419.849,0.92097,0.59094,0.96587,0.86838,0.94318,0.90881,0.63703,1.0091,0.75877,1.16137,0.000899567,0.000899567,0.000899567
31,433.261,0.83998,0.56565,0.93381,0.89437,0.95742,0.94621,0.67062,0.99892,0.75558,1.17233,0.0009223,0.0009223,0.0009223
32,447.071,0.86579,0.5654,0.9629,0.92694,0.90659,0.93721,0.66784,0.96273,0.73028,1.15428,0.000944537,0.000944537,0.000944537
33,460.341,0.82275,0.55357,0.94398,0.90851,0.95455,0.95022,0.6618,1.02576,0.76635,1.18316,0.00096628,0.00096628,0.00096628
34,475.732,0.88008,0.56366,0.94567,0.9337,0.96556,0.95711,0.66834,1.06452,0.75968,1.19526,0.00097775,0.00097775,0.00097775
35,492.751,0.88967,0.55616,0.95789,0.94376,0.96506,0.9649,0.69474,1.00292,0.68513,1.15483,0.0009695,0.0009695,0.0009695
36,510.6,0.83637,0.54912,0.95442,0.94763,0.96591,0.96916,0.65901,1.15079,0.719,1.24691,0.00096125,0.00096125,0.00096125
37,525.19,0.87392,0.54674,0.95482,0.93476,0.96226,0.9658,0.66702,1.10208,0.71107,1.2229,0.000953,0.000953,0.000953
38,539.975,0.89178,0.57579,0.9603,0.92499,0.9451,0.95998,0.65635,1.06493,0.77882,1.13502,0.00094475,0.00094475,0.00094475
39,553.85,0.87193,0.56763,0.958,0.92071,0.94317,0.96214,0.65223,1.03605,0.79768,1.15457,0.0009365,0.0009365,0.0009365
40,568.78,0.82706,0.56133,0.93737,0.95115,0.96591,0.95889,0.66301,1.01656,0.75519,1.20176,0.00092825,0.00092825,0.00092825
41,585.021,0.80792,0.53946,0.954,0.93994,0.93488,0.95657,0.69667,0.97623,0.73077,1.12716,0.00092,0.00092,0.00092
42,601.593,0.81916,0.53343,0.93844,0.95363,0.96466,0.95778,0.69573,1.01504,0.72517,1.11131,0.00091175,0.00091175,0.00091175
43,617.419,0.81362,0.50494,0.92747,0.92783,0.96591,0.95596,0.68654,1.04719,0.75539,1.1395,0.0009035,0.0009035,0.0009035
44,634.013,0.78425,0.52679,0.93826,0.93067,0.95651,0.9559,0.70137,0.97856,0.71084,1.12303,0.00089525,0.00089525,0.00089525
45,649.487,0.76764,0.49246,0.92749,0.93436,0.96212,0.96012,0.71969,0.96519,0.69488,1.11497,0.000887,0.000887,0.000887
46,666.116,0.79392,0.48527,0.93583,0.94485,0.9645,0.95987,0.70042,1.00996,0.62563,1.10339,0.00087875,0.00087875,0.00087875
47,684.245,0.79742,0.47455,0.93509,0.94737,0.96284,0.95441,0.7191,0.9496,0.64078,1.09646,0.0008705,0.0008705,0.0008705
48,702.874,0.80291,0.49036,0.9455,0.94624,0.95367,0.94214,0.69105,0.97152,0.6775,1.10898,0.00086225,0.00086225,0.00086225
49,717.663,0.78345,0.48826,0.93273,0.93644,0.96448,0.9436,0.70632,0.94277,0.67132,1.10514,0.000854,0.000854,0.000854
50,731.799,0.78555,0.47783,0.95236,0.93776,0.96247,0.94397,0.67492,1.02918,0.69763,1.13901,0.00084575,0.00084575,0.00084575
51,745.457,0.77195,0.49015,0.91971,0.93929,0.96591,0.9467,0.67706,1.01032,0.72225,1.12441,0.0008375,0.0008375,0.0008375
52,760.721,0.7963,0.48014,0.92512,0.93499,0.96591,0.95171,0.68519,0.94199,0.67146,1.13433,0.00082925,0.00082925,0.00082925
53,775.74,0.76011,0.46999,0.92348,0.93905,0.96591,0.94911,0.68429,0.96673,0.66402,1.1412,0.000821,0.000821,0.000821
