epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.73639,2.92657,4.38173,2.08252,0.00077,0.04545,0.00044,0.00015,2.26096,4.05668,1.91795,6.25e-05,6.25e-05,6.25e-05
2,12.0464,2.25488,4.14329,1.72882,0.00584,0.37825,0.06187,0.02903,1.89994,3.87612,1.62219,0.000136139,0.000136139,0.000136139
3,13.3442,1.56152,3.59869,1.3005,0.01032,0.71158,0.14134,0.05438,1.63019,3.71755,1.22035,0.000208293,0.000208293,0.000208293
4,14.6056,1.40275,3.14404,1.18576,0.01348,0.94156,0.28436,0.11339,1.40142,3.5798,1.14812,0.000278961,0.000278961,0.000278961
5,15.8723,1.40597,2.6177,1.17956,0.01397,0.97673,0.40759,0.16729,1.36064,3.47922,1.16585,0.000348145,0.000348145,0.000348145
6,17.1519,1.38097,2.0977,1.14789,0.01362,0.954,0.50485,0.247,1.29811,3.28526,1.09032,0.000415844,0.000415844,0.000415844
7,18.4049,1.34959,1.75167,1.13339,0.01369,0.9421,0.57002,0.31756,1.31561,3.15762,1.09877,0.000482057,0.000482057,0.000482057
8,19.6567,1.26925,1.68587,1.10401,0.01409,0.92045,0.60007,0.33816,1.22313,3.10889,1.12071,0.000546786,0.000546786,0.000546786
9,20.9588,1.26815,1.46023,1.11021,0.01223,0.78355,0.62978,0.37245,1.21927,3.00886,1.13519,0.00061003,0.00061003,0.00061003
10,22.1674,1.24825,1.41704,1.137,0.01149,0.77219,0.57759,0.35243,1.19628,3.0038,1.16355,0.000671789,0.000671789,0.000671789
11,23.3963,1.16852,1.34435,1.1062,0.01067,0.76028,0.61725,0.3501,1.20795,3.04261,1.16214,0.000732063,0.000732063,0.000732063
12,24.6798,1.13361,1.15874,1.05214,1,0.14725,0.63297,0.40711,1.13896,2.97662,1.19335,0.000790851,0.000790851,0.000790851
13,25.9515,1.0998,1.13909,1.08442,1,0.17974,0.6404,0.39233,1.24817,2.83705,1.18246,0.000848155,0.000848155,0.000848155
14,27.1662,1.15839,1.13278,1.08862,0.98566,0.39051,0.67164,0.46413,1.13663,2.66612,1.20262,0.000903974,0.000903974,0.000903974
15,28.298,1.09439,1.11585,1.05668,0.98718,0.43202,0.74242,0.45265,1.25153,2.51611,1.19169,0.000958307,0.000958307,0.000958307
16,29.5086,1.08944,1.05572,1.03817,0.98304,0.49568,0.77985,0.52351,1.2204,2.20898,1.22089,0.00101116,0.00101116,0.00101116
17,30.6898,1.02268,0.99569,1.02535,0.97865,0.508,0.7831,0.53788,1.16085,2.10589,1.18879,0.001052,0.001052,0.001052
18,31.8913,1.04522,0.97656,1.03153,0.96647,0.56,0.85261,0.54512,1.16925,1.99369,1.16818,0.00103962,0.00103962,0.00103962
19,33.0428,1.04992,0.96017,1.01804,0.96952,0.5611,0.87519,0.54735,1.17939,1.97595,1.18889,0.00102725,0.00102725,0.00102725
20,34.2328,1.04034,0.98836,1.02895,0.88043,0.7586,0.88292,0.57353,1.18934,1.77343,1.1914,0.00101488,0.00101488,0.00101488
21,35.4331,1.04608,0.92043,1.05583,0.88914,0.85665,0.93341,0.60997,1.12395,1.60902,1.16723,0.0010025,0.0010025,0.0010025
22,36.6031,1.0391,0.96118,1.05371,0.91997,0.93868,0.94412,0.63831,1.14137,1.39262,1.17887,0.000990125,0.000990125,0.000990125
23,37.7635,1.08066,0.9391,1.02023,0.90682,0.93597,0.95291,0.66718,1.08348,1.29244,1.20151,0.00097775,0.00097775,0.00097775
24,38.9952,1.02622,0.9214,1.03375,0.89876,0.94977,0.95231,0.66212,1.06072,1.11782,1.17504,0.000965375,0.000965375,0.000965375
25,40.2059,1.01017,0.89504,1.01162,0.9331,0.94703,0.95524,0.6637,1.04487,1.03606,1.14912,0.000953,0.000953,0.000953
26,41.446,0.99639,0.85339,0.99748,0.88811,0.94737,0.94336,0.65001,1.1047,0.94968,1.22633,0.000940625,0.000940625,0.000940625
27,42.6363,0.95289,0.92336,1.05188,0.89583,0.94658,0.9423,0.66659,1.06259,0.92997,1.16114,0.00092825,0.00092825,0.00092825
28,43.8574,0.97039,0.86376,1.01449,0.91773,0.95298,0.95664,0.66235,1.09755,0.91471,1.14481,0.000915875,0.000915875,0.000915875
29,45.0782,0.93422,0.84143,0.98648,0.9344,0.94618,0.95295,0.65996,1.08173,0.88261,1.20526,0.0009035,0.0009035,0.0009035
30,46.2587,0.93989,0.87847,1.00692,0.92146,0.94531,0.95334,0.67918,1.00162,0.83729,1.19987,0.000891125,0.000891125,0.000891125
31,47.4588,0.93615,0.81183,0.99318,0.92783,0.9382,0.9514,0.65684,1.07736,0.89453,1.18302,0.00087875,0.00087875,0.00087875
32,48.6392,0.91474,0.81668,0.96962,0.92176,0.94442,0.94922,0.6421,1.16151,0.83963,1.24381,0.000866375,0.000866375,0.000866375
33,49.8196,0.93017,0.80047,0.97308,0.92476,0.94004,0.94584,0.63678,1.16943,0.83328,1.27942,0.000854,0.000854,0.000854
34,51.0297,0.91532,0.81942,0.98908,0.94529,0.96591,0.96065,0.69342,0.98684,0.75437,1.17249,0.000841625,0.000841625,0.000841625
35,52.1697,0.89165,0.77481,0.96919,0.94394,0.96591,0.96516,0.68942,0.99631,0.7336,1.14103,0.00082925,0.00082925,0.00082925
36,53.3197,0.91178,0.80568,0.99093,0.95174,0.96591,0.95938,0.70386,1.00895,0.73244,1.19585,0.000816875,0.000816875,0.000816875
37,54.5196,0.89246,0.76716,0.96894,0.95053,0.96591,0.96121,0.68957,1.00563,0.71506,1.15419,0.0008045,0.0008045,0.0008045
38,55.7297,0.90562,0.75128,0.95765,0.95034,0.96591,0.96177,0.68327,1.02184,0.71999,1.14692,0.000792125,0.000792125,0.000792125
39,56.8797,0.88758,0.76334,0.98123,0.95036,0.96591,0.96277,0.67785,1.02943,0.72744,1.15882,0.00077975,0.00077975,0.00077975
40,58.05,0.89099,0.73952,0.98049,0.94767,0.96591,0.96222,0.70437,0.96805,0.70931,1.12789,0.000767375,0.000767375,0.000767375
41,59.1816,0.87498,0.75016,0.96538,0.94874,0.96591,0.95728,0.71048,0.96119,0.70264,1.13166,0.000755,0.000755,0.000755
42,60.3728,0.86576,0.73157,0.96657,0.93748,0.96591,0.9544,0.69862,0.98468,0.70598,1.1594,0.000742625,0.000742625,0.000742625
43,61.5262,0.87003,0.72487,0.96666,0.95165,0.96591,0.95723,0.69121,0.99107,0.68821,1.15708,0.00073025,0.00073025,0.00073025
44,62.7298,0.86695,0.72947,0.94646,0.96185,0.96591,0.95962,0.68898,1.00658,0.6923,1.17997,0.000717875,0.000717875,0.000717875
45,63.9461,0.86965,0.72832,0.98375,0.96135,0.96591,0.9613,0.70354,0.97715,0.67937,1.14761,0.0007055,0.0007055,0.0007055
46,65.1513,0.8618,0.73234,0.97134,0.95492,0.9617,0.96192,0.71112,0.96253,0.6714,1.11895,0.000693125,0.000693125,0.000693125
47,66.3537,0.88211,0.74427,0.95447,0.9519,0.96561,0.96136,0.70324,0.96218,0.67309,1.1212,0.00068075,0.00068075,0.00068075
48,67.5778,0.84699,0.72173,0.99567,0.95557,0.96571,0.95697,0.69449,1.004,0.68389,1.1283,0.000668375,0.000668375,0.000668375
49,68.7679,0.82312,0.70704,0.93562,0.95733,0.96591,0.95594,0.70374,0.97847,0.67664,1.12012,0.000656,0.000656,0.000656
50,70.0111,0.7997,0.67515,0.93352,0.96037,0.96581,0.95779,0.70116,0.95481,0.64222,1.11044,0.000643625,0.000643625,0.000643625
51,71.1956,0.84165,0.69829,0.94371,0.95777,0.96326,0.96014,0.7131,0.95477,0.6571,1.11473,0.00063125,0.00063125,0.00063125
52,72.4709,0.78313,0.67578,0.93444,0.95701,0.96317,0.96102,0.69002,1.00311,0.67935,1.11694,0.000618875,0.000618875,0.000618875
53,73.6348,0.82887,0.68946,0.94049,0.95797,0.96477,0.95972,0.68519,0.98668,0.66966,1.10392,0.0006065,0.0006065,0.0006065
54,74.8351,0.84806,0.67817,0.94886,0.9505,0.96591,0.96438,0.70591,0.9486,0.67577,1.11998,0.000594125,0.000594125,0.000594125
55,75.9976,0.80063,0.66382,0.9391,0.95235,0.96591,0.96229,0.71099,0.94838,0.67008,1.13337,0.00058175,0.00058175,0.00058175
56,77.1675,0.82162,0.66746,0.95145,0.95409,0.96591,0.95724,0.7214,0.93119,0.64966,1.12753,0.000569375,0.000569375,0.000569375
57,78.3083,0.83242,0.68305,0.94919,0.95693,0.96591,0.95546,0.71864,0.93491,0.65784,1.11388,0.000557,0.000557,0.000557
58,79.5395,0.83205,0.6699,0.93357,0.95827,0.96511,0.95544,0.71976,0.93191,0.67113,1.12353,0.000544625,0.000544625,0.000544625
