epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4563,2.86907,4.32677,2.04262,0.00058,0.03409,0.00033,0.0002,2.0845,4.2062,1.83111,6.25e-05,6.25e-05,6.25e-05
2,35.8351,1.93643,4.02101,1.53403,0.00649,0.4237,0.06455,0.02295,1.83877,3.96152,1.38829,0.000136139,0.000136139,0.000136139
3,41.9758,1.54757,3.47028,1.27518,0.01204,0.78301,0.2679,0.10582,1.46139,3.74584,1.18565,0.000208293,0.000208293,0.000208293
4,48.0281,1.39315,2.98923,1.19535,0.0117,0.80574,0.27833,0.1188,1.35578,3.68673,1.13329,0.000278961,0.000278961,0.000278961
5,54.7801,1.43308,2.48115,1.18601,0.01125,0.81764,0.32158,0.16753,1.31197,3.61511,1.11316,0.000348145,0.000348145,0.000348145
6,61.7459,1.36361,2.0622,1.17796,0.01198,0.875,0.39875,0.19942,1.28335,3.48819,1.10253,0.000415844,0.000415844,0.000415844
7,69.3251,1.3457,1.74137,1.17311,0.01228,0.89773,0.5601,0.28613,1.33548,3.41087,1.14881,0.000482057,0.000482057,0.000482057
8,76.4558,1.22814,1.555,1.10146,0.01186,0.875,0.64683,0.32367,1.29785,3.41451,1.11614,0.000546786,0.000546786,0.000546786
9,83.9676,1.2287,1.43328,1.08996,0.01101,0.79545,0.6739,0.3989,1.15806,3.22317,1.11601,0.00061003,0.00061003,0.00061003
10,91.9129,1.2112,1.35298,1.11499,0.01142,0.77273,0.67381,0.38845,1.18569,3.04782,1.13678,0.000671789,0.000671789,0.000671789
11,99.4245,1.17177,1.24796,1.08407,0.88513,0.66821,0.70056,0.45092,1.19871,2.91598,1.1029,0.000732063,0.000732063,0.000732063
12,107.093,1.14589,1.17764,1.06294,0.95131,0.12508,0.68045,0.38342,1.3293,2.92697,1.2028,0.000790851,0.000790851,0.000790851
13,114.928,1.22468,1.1875,1.09302,1,0.15814,0.71643,0.41442,1.27429,2.83842,1.17622,0.000848155,0.000848155,0.000848155
14,122.276,1.1391,1.12858,1.07431,0.96067,0.36255,0.71764,0.39756,1.42146,2.63118,1.21007,0.000903974,0.000903974,0.000903974
15,129.715,1.13277,1.0894,1.07227,0.98216,0.5264,0.77364,0.49952,1.20777,2.44113,1.14208,0.000958307,0.000958307,0.000958307
16,137.145,1.16114,1.05689,1.08638,0.93719,0.67078,0.77552,0.45916,1.26698,2.29124,1.14209,0.00101116,0.00101116,0.00101116
17,144.415,1.10033,1.04099,1.04811,0.92226,0.64802,0.76071,0.48511,1.19962,2.25606,1.12723,0.001052,0.001052,0.001052
18,151.41,1.05052,1.00083,1.04914,0.85613,0.68558,0.80214,0.52394,1.18089,2.12324,1.16437,0.00103962,0.00103962,0.00103962
19,158.73,1.04975,0.96533,1.02732,0.87462,0.69682,0.85507,0.57963,1.06573,2.0753,1.11833,0.00102725,0.00102725,0.00102725
20,165.462,1.0307,0.93658,1.02544,0.90623,0.76205,0.87379,0.56853,1.19208,2.06096,1.14865,0.00101488,0.00101488,0.00101488
21,172.11,1.02184,0.92652,1.00849,0.87611,0.77593,0.86572,0.57602,1.15458,2.01573,1.1528,0.0010025,0.0010025,0.0010025
22,179.188,0.99772,0.92522,1.01019,0.93637,0.83442,0.93324,0.62864,1.07518,1.83021,1.1323,0.000990125,0.000990125,0.000990125
23,186.158,0.9915,0.91791,1.03489,0.92891,0.85209,0.94202,0.62617,1.15779,1.72284,1.13724,0.00097775,0.00097775,0.00097775
24,194.828,1.01946,0.91287,1.02127,0.92753,0.93052,0.9533,0.67558,1.09874,1.42045,1.14089,0.000965375,0.000965375,0.000965375
25,203.752,0.95161,0.87281,1.02273,0.91816,0.93801,0.95329,0.67355,1.13152,1.35621,1.12385,0.000953,0.000953,0.000953
26,213.306,0.91075,0.80651,0.98884,0.93098,0.9534,0.95482,0.67513,1.01768,1.16417,1.13133,0.000940625,0.000940625,0.000940625
27,222.98,0.933,0.79559,0.99977,0.94211,0.94261,0.95987,0.65295,1.07454,1.09911,1.1443,0.00092825,0.00092825,0.00092825
28,230.952,0.94137,0.81431,0.95924,0.93072,0.94497,0.96028,0.67362,1.01602,1.18466,1.12066,0.000915875,0.000915875,0.000915875
29,239.182,0.9268,0.82611,0.9832,0.91635,0.945,0.96021,0.68679,1.02978,1.17055,1.13409,0.0009035,0.0009035,0.0009035
30,247.235,0.93292,0.82203,0.98931,0.92583,0.95782,0.95524,0.67416,1.02123,1.04904,1.14302,0.000891125,0.000891125,0.000891125
31,254.758,0.88777,0.79755,0.96404,0.95218,0.94835,0.95785,0.66855,1.02676,0.97254,1.14313,0.00087875,0.00087875,0.00087875
32,262.782,0.9196,0.81188,0.98379,0.92054,0.93755,0.95479,0.6638,1.03513,0.94619,1.17842,0.000866375,0.000866375,0.000866375
33,271.014,0.89072,0.78818,0.97025,0.90256,0.94318,0.95483,0.67131,1.03127,0.9794,1.14064,0.000854,0.000854,0.000854
34,279.209,0.90322,0.7685,0.95547,0.92824,0.95661,0.95147,0.67667,1.01433,0.8896,1.17526,0.000841625,0.000841625,0.000841625
35,287.072,0.90586,0.75976,0.96744,0.94291,0.94131,0.95475,0.69043,0.99834,0.88806,1.18171,0.00082925,0.00082925,0.00082925
36,294.508,0.90083,0.78091,0.97668,0.94479,0.95573,0.96083,0.68168,0.99303,0.87222,1.18767,0.000816875,0.000816875,0.000816875
37,301.816,0.87433,0.74627,0.95427,0.94982,0.96024,0.96267,0.70951,0.94947,0.85016,1.14849,0.0008045,0.0008045,0.0008045
38,309.482,0.8928,0.79424,0.97713,0.95025,0.96315,0.96457,0.72912,0.92735,0.81674,1.11365,0.000792125,0.000792125,0.000792125
39,316.971,0.85965,0.74059,0.97535,0.95266,0.96393,0.96452,0.70676,0.94881,0.82524,1.14129,0.00077975,0.00077975,0.00077975
40,324.901,0.88193,0.72613,0.96402,0.9492,0.96591,0.96572,0.71157,0.9443,0.7999,1.12134,0.000767375,0.000767375,0.000767375
41,332.334,0.85017,0.74217,0.96556,0.94164,0.96591,0.96434,0.72807,0.91927,0.78469,1.0929,0.000755,0.000755,0.000755
42,339.656,0.86305,0.715,0.95402,0.94277,0.96591,0.96073,0.71212,0.92977,0.80699,1.10006,0.000742625,0.000742625,0.000742625
43,347.082,0.84254,0.72952,0.95739,0.94591,0.96591,0.95974,0.69984,0.96,0.82988,1.10679,0.00073025,0.00073025,0.00073025
